X X S,XXS
extra extra small,XXS
double X S,XXS
double XS,XXS
two XS,XXS
XXS,XXS
two X S,XXS
X S,XS
extra small,XS
S,S
small,S
M,M
medium,M
L,L
large,L
big,L
X L,XL
extra large,XL
x large,XL
excel,XL
X X L,XXL
extra extra large,XXL
double X L,XXL
double XL,XXL
XXL,XXL
two XL,XXL
two X L,XXL
X X X L,3XL
extra extra extra large,3XL
three X L,3XL
three extra large,3XL
triple X L,3XL
triple XL,3XL
three XL,3XL
XXXL,3XL
35,35
4,35
4 and a half,35
UK 4,35
four point five,35
36,36
5,36
5 and a half,36
UK 5,36
five point five,36
37,37
6,37
6 and a half,37
UK 6,37
six point five,37
38,38
7,38
7 and a half,38
UK 7,38
seven point five,38
39,39
8,39
8 and a half,39
UK 8,39
eight point five,39
40,40
9,40
9 and a half,40
UK 9,40
nine point five,40
41,41
10,41
10 and a half,41
UK 10,41
ten point five,41
42,42
11,42
11 and a half,42
UK 11,42
eleven point five,42
43,43
12,43
12 and a half,43
UK 12,43
twelve point five,43
44,44
13,44
13 and a half,44
UK 13,44
thirteen point five,44
45,45
14,45
14 and a half,45
UK 14,45
fourteen point five,45
46,46
15,46
15 and a half,46
UK 15,46
fifteen point five,46
47,47
16,47
16 and a half,47
UK 16,47
sixteen point five,47
